lat,lon
51.3,3.7
51.65,5.85
51.95,5.65
48.936198,-0.549115
48.694637,-3.788302
50.953537,1.855659
46.513927,5.273754
49.601143,7.710565
42.957257,-0.214226
47.79605,-1.868997
45.532206,9.318031
51.62491,4.935762
45.588498,9.163713
43.823428,11.048038
48.842089,2.227129
45.287973,19.819579
46.780374,0.373378
52.628286,1.269954
45.72973,4.775249
44.748072,8.000233
55.84087,13.60808
51.35,6.2
52.7,4.6
52.85,7.05
51.65,4.2
52.1,4.3
51.55,5.55
51.3,3.45
53.0,6.6
51.8,5.65
51.95,6.55
53.25,5.0
52.1,5.4
51.15,6.0
52.05,4.7
51.3,5.65
51.21366,3.57679
51.579238,-3.007711
51.522599,-2.420865
50.863613,8.730551
47.351101,5.020796
51.667033,-1.075836
48.926554,2.150809
43.616131,4.080886
51.540917,0.628263
47.943195,16.79222
43.906106,25.463507
50.415177,-5.059884
48.836253,9.221063
44.854845,34.305662
45.919497,6.143639
33.982495,-84.737922
49.944029,8.789252
51.805694,-1.641912
51.533682,-0.480742
47.775026,16.798134
53.812675,-1.081992
47.804462,16.634505
51.253724,20.167942
50.331478,-4.203293
43.948478,4.791182
40.605137,66.672661
36.050179,-79.087655
36.871657,34.581136
38.828249,-78.570877
39.277017,-76.570441
48.1297,16.925212
34.492768,-86.731006
32.902616,-108.212283
43.655252,-1.31439
51.588129,18.907202
51.976365,7.787615
50.826147,24.471656
37.112305,-79.282768
47.682031,17.105705
46.960128,15.946803
50.396251,14.119469
50.959545,7.122769
51.3405,12.300383
51.710707,-1.357561
40.215909,-80.300054
48.117845,13.244833
51.452194,-2.101031
40.209938,-75.393433
47.271409,31.804218
47.955517,16.238155
-44.190016,170.141539
41.498394,2.112257
51.110433,16.957875
59.58361,16.56748
52.490494,9.284789
50.400684,8.955574
49.156898,9.267998
53.701889,10.277538
52.35722,9.268513
51.281731,6.377478
52.24255,13.530304
48.87973,10.183811
47.746422,10.032835
53.257305,10.406284
50.973736,6.291025
52.27359,7.457511
48.079136,11.615623
52.562527,10.104772
52.373577,7.124229
48.070251,7.621154
48.150913,7.771256
50.545807,8.992674
49.829311,8.659728
50.973755,11.62356
58.307061,6.658681
51.17208,4.84095
52.3,4.95
52.15,6.85
52.4,5.85
51.45,5.45
53.15,5.95
52.05,5.2
52.05,4.45
51.5,3.85
52.45,4.6
53.15,4.8
53.0,6.95
47.921019,12.958875
52.55,5.8
52.35,4.55
52.55,4.6
52.15,4.95
53.35,6.2
52.0,5.05
53.0,5.6
52.25,4.45
51.9,4.75
52.15,4.5
52.8,4.7
55.84361,13.32132
57.92285,11.58484
58.421,15.61447
58.84037,16.52593
48.420783,-122.322177
41.122751,-81.59718
52.999127,49.902902
48.644444,27.029444
44.417233,-123.323822
54.707259,45.218036
48.015678,37.851506
40.533475,-75.372908
49.826776,8.108511
53.490202,49.286737
50.756758,-3.385889
53.125435,11.553622
51.564893,-1.767982
35.60168,-82.445589
53.259572,-2.508884
54.717545,55.991455
49.855548,18.20004
-35.652036,173.559036
50.038894,36.207378
54.668052,-7.315749
52.271018,24.349425
47.285005,11.409509
50.381599,33.433073
55.721325,38.933763
49.705285,36.246295
50.624508,36.570234
54.078375,-2.711313
51.110107,13.830838
42.369087,-88.817397
46.905409,15.432249
48.273459,16.365106
49.053465,-122.225266
40.021934,-86.176912
53.384891,51.342557
48.490611,15.695157
54.662455,17.165061
54.274321,10.155744
49.201784,-123.143623
38.933856,-79.965452
41.2714,-76.1158
43.343644,76.899169
35.254642,-106.406394
55.0855,32.840233
52.607525,13.381484
49.613533,6.124334
50.756003,29.23332
53.602929,-2.485337
55.506458,31.837404
54.427291,38.58381
49.223909,11.004032
45.500237,-122.98996
46.737892,-117.174688
55.726178,37.566674
45.255471,37.368526
54.422166,36.009575
50.715857,42.419308
53.345999,44.725074
35.325771,-82.881827
47.126428,15.328447
51.870144,0.971396
53.747359,39.780946
51.618025,-3.871983
50.855603,-0.975732
50.22143,41.238912
33.342072,-116.901437
48.144846,14.006101
53.05,6.15
47.754613,13.244696
52.95,6.2
56.83807,14.85904
51.321289,7.369663
48.401138,9.074118
51.482414,8.252381
49.742653,8.575939
50.84659,4.93036
46.654758,-120.746511
41.285101,-82.222027
53.429318,49.667105
-43.728638,172.587445
42.475658,-71.329055
53.097394,0.323183
53.220946,-7.732215
48.665625,-123.470314
50.104373,25.293611
44.844684,37.36862
43.533068,-116.603129
40.903237,-79.458961
48.98126,-123.801408
48.963898,17.152224
53.472712,44.589168
44.52656,38.328462
47.344843,39.770116
35.096907,-106.463253
48.312978,16.973541
45.584363,80.224762
43.80782,15.771704
50.013438,41.703062
50.950822,-0.100448
46.7537,15.882162
53.58,19.59
47.766459,12.753316
43.224795,77.774045
38.917137,-79.841867
49.879592,19.217748
53.908281,43.319228
55.155867,-1.680678
44.08878,28.669295
52.492977,13.590842
42.625355,-88.123496
48.439568,7.98293
53.538393,-7.711944
49.043513,23.508673
48.062242,28.878331
50.43721,5.30177
50.49515,5.65754
49.56127,5.47204
49.78954,5.24649
50.53746,5.3186
50.21465,4.95668
50.4534,4.89278
50.48027,4.6745
50.125862,10.185356
49.704079,12.771538
51.760569,11.943664
58.20764,13.44301
58.4365,12.19488
58.29504,12.82562
